pm25,station_id,station_lat,station_lon,year,month,luse_r005_urban_continuous_pct,luse_r005_urban_discontinuous_pct,luse_r005_urban_isolated_pct,luse_r005_urban_industrial_pct,luse_r005_urban_infrastructure_pct,luse_r005_urban_green_pct,luse_r005_agriculture_pct,luse_r005_forest_natural_pct,luse_r005_wetland_pct,luse_r005_water_pct,luse_r005_seal_density,luse_r005_green_pct,luse_r005_urban_pct
131.0,aleja_krasinskiego,50.0573,19.91,2019,1,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
124.0,aleja_krasinskiego,50.0573,19.91,2019,1,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
169.0,aleja_krasinskiego,50.0573,19.91,2019,1,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
163.0,aleja_krasinskiego,50.0573,19.91,2019,1,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
118.0,aleja_krasinskiego,50.0573,19.91,2019,1,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
58.0,aleja_krasinskiego,50.0573,19.91,2019,1,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
40.0,aleja_krasinskiego,50.0573,19.91,2019,1,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
69.0,aleja_krasinskiego,50.0573,19.91,2019,1,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
89.0,aleja_krasinskiego,50.0573,19.91,2019,1,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
107.0,aleja_krasinskiego,50.0573,19.91,2019,1,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
56.0,aleja_krasinskiego,50.0573,19.91,2019,1,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
113.0,aleja_krasinskiego,50.0573,19.91,2019,1,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
178.0,aleja_krasinskiego,50.0573,19.91,2019,1,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
186.0,aleja_krasinskiego,50.0573,19.91,2019,1,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
176.0,aleja_krasinskiego,50.0573,19.91,2019,1,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
122.0,aleja_krasinskiego,50.0573,19.91,2019,1,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
95.0,aleja_krasinskiego,50.0573,19.91,2019,1,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
128.0,aleja_krasinskiego,50.0573,19.91,2019,1,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
146.0,aleja_krasinskiego,50.0573,19.91,2019,1,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
134.0,aleja_krasinskiego,50.0573,19.91,2019,1,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
160.0,aleja_krasinskiego,50.0573,19.91,2019,1,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
92.0,aleja_krasinskiego,50.0573,19.91,2019,1,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
126.0,aleja_krasinskiego,50.0573,19.91,2019,1,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
168.0,aleja_krasinskiego,50.0573,19.91,2019,1,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
142.0,aleja_krasinskiego,50.0573,19.91,2019,2,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
79.0,aleja_krasinskiego,50.0573,19.91,2019,2,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
143.0,aleja_krasinskiego,50.0573,19.91,2019,2,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
91.0,aleja_krasinskiego,50.0573,19.91,2019,2,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
125.0,aleja_krasinskiego,50.0573,19.91,2019,2,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
135.0,aleja_krasinskiego,50.0573,19.91,2019,2,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
168.0,aleja_krasinskiego,50.0573,19.91,2019,2,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
161.0,aleja_krasinskiego,50.0573,19.91,2019,2,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
150.0,aleja_krasinskiego,50.0573,19.91,2019,2,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
115.0,aleja_krasinskiego,50.0573,19.91,2019,2,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
56.0,aleja_krasinskiego,50.0573,19.91,2019,2,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
52.0,aleja_krasinskiego,50.0573,19.91,2019,2,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
86.0,aleja_krasinskiego,50.0573,19.91,2019,2,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
105.0,aleja_krasinskiego,50.0573,19.91,2019,2,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
127.0,aleja_krasinskiego,50.0573,19.91,2019,2,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
144.0,aleja_krasinskiego,50.0573,19.91,2019,2,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
151.0,aleja_krasinskiego,50.0573,19.91,2019,2,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
166.0,aleja_krasinskiego,50.0573,19.91,2019,2,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
168.0,aleja_krasinskiego,50.0573,19.91,2019,2,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
104.0,aleja_krasinskiego,50.0573,19.91,2019,2,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
97.0,aleja_krasinskiego,50.0573,19.91,2019,2,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
55.0,aleja_krasinskiego,50.0573,19.91,2019,2,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
74.0,aleja_krasinskiego,50.0573,19.91,2019,2,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
149.0,aleja_krasinskiego,50.0573,19.91,2019,2,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
132.0,aleja_krasinskiego,50.0573,19.91,2019,2,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
103.0,aleja_krasinskiego,50.0573,19.91,2019,2,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
131.0,aleja_krasinskiego,50.0573,19.91,2019,2,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
112.0,aleja_krasinskiego,50.0573,19.91,2019,2,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
134.0,aleja_krasinskiego,50.0573,19.91,2019,3,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
99.0,aleja_krasinskiego,50.0573,19.91,2019,3,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
107.0,aleja_krasinskiego,50.0573,19.91,2019,3,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
53.0,aleja_krasinskiego,50.0573,19.91,2019,3,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
43.0,aleja_krasinskiego,50.0573,19.91,2019,3,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
80.0,aleja_krasinskiego,50.0573,19.91,2019,3,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
82.0,aleja_krasinskiego,50.0573,19.91,2019,3,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
40.0,aleja_krasinskiego,50.0573,19.91,2019,3,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
48.0,aleja_krasinskiego,50.0573,19.91,2019,3,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
29.0,aleja_krasinskiego,50.0573,19.91,2019,3,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
50.0,aleja_krasinskiego,50.0573,19.91,2019,3,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
80.0,aleja_krasinskiego,50.0573,19.91,2019,3,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
