station_id,year,month,pm25,station_lat,station_lon,luse_r005_urban_continuous_pct,luse_r005_urban_discontinuous_pct,luse_r005_urban_isolated_pct,luse_r005_urban_industrial_pct,luse_r005_urban_infrastructure_pct,luse_r005_urban_green_pct,luse_r005_agriculture_pct,luse_r005_forest_natural_pct,luse_r005_wetland_pct,luse_r005_water_pct,luse_r005_seal_density,luse_r005_green_pct,luse_r005_urban_pct
aleja_krasinskiego,2019,1,122.83,50.0573,19.91,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
aleja_krasinskiego,2019,2,118.61,50.0573,19.91,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
aleja_krasinskiego,2019,3,86.58,50.0573,19.91,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
aleja_krasinskiego,2019,4,87.77,50.0573,19.91,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
aleja_krasinskiego,2019,5,63.03,50.0573,19.91,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
aleja_krasinskiego,2019,6,49.13,50.0573,19.91,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
aleja_krasinskiego,2019,7,46.81,50.0573,19.91,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
aleja_krasinskiego,2019,8,41.77,50.0573,19.91,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
aleja_krasinskiego,2019,9,39.43,50.0573,19.91,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
aleja_krasinskiego,2019,10,91.61,50.0573,19.91,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
aleja_krasinskiego,2019,11,102.87,50.0573,19.91,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
aleja_krasinskiego,2019,12,96.55,50.0573,19.91,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
aleja_krasinskiego,2020,1,116.03,50.0573,19.91,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
aleja_krasinskiego,2020,2,59.59,50.0573,19.91,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
aleja_krasinskiego,2020,3,62.07,50.0573,19.91,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
aleja_krasinskiego,2020,6,52.53,50.0573,19.91,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
aleja_krasinskiego,2020,7,46.27,50.0573,19.91,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
aleja_krasinskiego,2020,8,50.89,50.0573,19.91,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
aleja_krasinskiego,2020,9,55.07,50.0573,19.91,0.1359814193621887,0.1482279841404964,0.0,0.155733942643514,2.962590017950222e-05,0.5600270279536134,0.0,0.0,0.0,0.0,0.2323296090535114,0.5600270279536134,0.9999999999999922
