year,month,mean_temp_monthly,blh_monthly,station_id
2023,5,12.83,534.1,kurdwanow
2023,6,17.88,549.8,kurdwanow
2023,7,20.92,585.4,kurdwanow
2023,8,20.72,426.7,kurdwanow
2023,9,17.89,386.5,kurdwanow
2023,10,12.65,474.9,kurdwanow
2023,11,5.25,536.6,kurdwanow
2023,12,1.98,496.9,kurdwanow
2024,1,-0.35,,kurdwanow
2024,2,6.66,,kurdwanow
2024,3,7.51,,kurdwanow
2024,4,11.48,,kurdwanow
2024,5,16.54,,kurdwanow
2024,6,19.68,,kurdwanow
2024,7,21.9,597.0,kurdwanow
2024,8,21.23,481.1,kurdwanow
2024,9,17.13,481.0,kurdwanow
2024,10,10.44,321.7,kurdwanow
2024,11,3.8,395.7,kurdwanow
2024,12,2.03,350.8,kurdwanow
2019,1,-1.56,517.1,nowa_huta
2019,2,3.09,459.7,nowa_huta
2019,3,6.53,704.5,nowa_huta
2019,4,10.18,596.3,nowa_huta
2019,5,12.6,535.5,nowa_huta
2019,6,21.66,565.8,nowa_huta
2019,7,19.46,677.9,nowa_huta
2019,8,20.52,471.0,nowa_huta
2019,9,15.16,549.3,nowa_huta
2019,10,11.27,342.5,nowa_huta
2019,11,7.08,254.3,nowa_huta
2019,12,3.02,379.0,nowa_huta
2020,1,1.43,349.5,nowa_huta
2020,2,4.35,660.8,nowa_huta
2020,3,5.11,603.5,nowa_huta
2020,4,9.92,665.4,nowa_huta
2020,5,11.92,654.9,nowa_huta
2020,6,18.18,509.2,nowa_huta
2020,7,19.27,542.3,nowa_huta
2020,8,20.98,562.5,nowa_huta
2020,9,15.72,378.8,nowa_huta
2020,10,10.76,368.4,nowa_huta
2020,11,5.41,265.7,nowa_huta
2020,12,1.81,221.6,nowa_huta
2021,1,-1.11,334.1,nowa_huta
2021,2,-0.88,358.0,nowa_huta
2021,3,3.64,535.1,nowa_huta
2021,4,6.47,619.2,nowa_huta
2021,5,12.69,657.2,nowa_huta
2021,6,19.57,564.1,nowa_huta
2021,7,21.61,500.9,nowa_huta
2021,8,17.81,497.4,nowa_huta
2021,9,14.5,463.6,nowa_huta
2021,10,9.16,390.5,nowa_huta
2021,11,5.18,383.7,nowa_huta
2021,12,-0.09,397.5,nowa_huta
2022,1,0.59,644.0,nowa_huta
2022,2,3.52,750.2,nowa_huta
2022,3,2.65,423.3,nowa_huta
2022,4,6.91,638.4,nowa_huta
2022,5,14.73,633.0,nowa_huta
2022,6,19.67,618.5,nowa_huta
2022,7,19.64,617.6,nowa_huta
2022,8,20.69,440.8,nowa_huta
2022,9,13.41,495.8,nowa_huta
