date, pm25, pm10, o3, no2, so2, co
2017/11/10, , 26, , , , 
2017/11/11, , 13, , , , 
2017/11/12, , 19, , , , 
2017/11/13, , 27, , , , 
2017/11/14, , 39, , , , 
2017/11/15, , 54, , , , 
2017/11/16, , 76, , , , 
2017/11/17, , 67, , , , 
2017/11/18, , 41, , , , 
2017/11/19, , 16, , , , 
2017/11/20, , 15, , , , 
2017/11/21, , 32, , , , 
2017/11/22, , 41, , , , 
2017/11/23, , 54, , , , 
2017/11/24, , 74, , , , 
2017/11/25, , 60, , , , 
2017/11/26, , 25, , , , 
2017/11/27, , 55, , , , 
2017/11/28, , 34, , , , 
2017/11/29, , 70, , , , 
2017/11/30, , 36, , , , 
2017/12/1, , 39, , , , 
2017/12/2, , 81, , , , 
2017/12/3, , 42, , , , 
2017/12/4, , 30, , , , 
2017/12/5, , 22, , , , 
2017/12/6, , 19, , , , 
2017/12/7, , 40, , , , 
2017/12/8, , 20, , , , 
2017/12/9, , 39, , , , 
2017/12/10, , 17, , , , 
2017/12/11, , 9, , , , 
2017/12/12, , 15, , , , 
2017/12/13, , 31, , , , 
2017/12/14, , 11, , , , 
2017/12/15, , 33, , , , 
2017/12/16, , 63, , , , 
2017/12/17, , 60, , , , 
2017/12/18, , 74, , , , 
2017/12/19, , 48, , , , 
2017/12/20, , 65, , , , 
2017/12/21, , 38, , , , 
2017/12/22, , 28, , , , 
2017/12/23, , 19, , , , 
2017/12/24, , 11, , , , 
2017/12/25, , 23, , , , 
2017/12/26, , 72, , , , 
2017/12/27, , 53, , , , 
2017/12/28, , 40, , , , 
2017/12/29, , 34, , , , 
2017/12/30, , 34, , , , 
2017/12/31, , 15, , , , 
2017/7/1, , 8, , , , 
2017/7/2, , 7, , , , 
2017/7/3, , 11, , , , 
2017/7/4, , 17, , , , 
2017/7/5, , 16, , , , 
2017/7/6, , 15, , , , 
2017/7/7, , 16, , , , 
2017/7/8, , 14, , , , 
2017/7/9, , 12, , , , 
2017/7/10, , 17, , , , 
2017/7/11, , 10, , , , 
2017/7/12, , 11, , , , 
2017/7/13, , 10, , , , 
2017/7/14, , 19, , , , 
2017/7/15, , 12, , , , 
2017/7/16, , 16, , , , 
2017/7/17, , 13, , , , 
2017/7/18, , 17, , , , 
2017/7/19, , 27, , , , 
2017/7/20, , 24, , , , 
2017/7/21, , 19, , , , 
2017/7/22, , 15, , , , 
2017/7/23, , 9, , , , 
2017/7/24, , 11, , , , 
2017/7/25, , 10, , , , 
2017/7/26, , 9, , , , 
2017/7/27, , 9, , , , 
2017/7/28, , 10, , , , 
2017/7/29, , 15, , , , 
2017/7/30, , 13, , , , 
2017/7/31, , 21, , , , 
2017/8/1, , 22, , , , 
2017/8/2, , 37, , , , 
2017/8/3, , 27, , , , 
2017/8/4, , 24, , , , 
2017/8/5, , 20, , , , 
2017/8/6, , 16, , , , 
2017/8/7, , 13, , , , 
2017/8/8, , 14, , , , 
2017/8/9, , 19, , , , 
2017/8/10, , 38, , , , 
2017/8/11, , 31, , , , 
2017/8/12, , 11, , , , 
2017/8/13, , 12, , , , 
2017/8/14, , 20, , , , 
2017/8/15, , 11, , , , 
2017/8/16, , 9, , , , 
2017/8/18, , 29, , , , 
2017/8/19, , 15, , , , 
2017/8/20, , 8, , , , 
2017/8/21, , 13, , , , 
2017/8/22, , 16, , , , 
2017/8/23, , 17, , , , 
2017/8/24, , 19, , , , 
2017/8/25, , 34, , , , 
2017/8/26, , 33, , , , 
2017/8/27, , 23, , , , 
2017/8/28, , 17, , , , 
2017/8/29, , 24, , , , 
2017/8/30, , 24, , , , 
2017/8/31, , 34, , , , 
2017/9/1, , 31, , , , 
2017/9/2, , 9, , , , 
2017/9/3, , 5, , , , 
2017/9/4, , 12, , , , 
2017/9/5, , 13, , , , 
2017/9/10, , 24, , , , 
2017/9/11, , 27, , , , 
2017/9/12, , 9, , , , 
2017/9/13, , 8, , , , 
2017/9/14, , 7, , , , 
2017/9/15, , 12, , , , 
2017/9/16, , 15, , , , 
2017/9/17, , 17, , , , 
2017/9/18, , 18, , , , 
2017/9/19, , 31, , , , 
2017/9/20, , 10, , , , 
2017/9/21, , 12, , , , 
2017/9/22, , 15, , , , 
2017/9/23, , 16, , , , 
2017/9/24, , 15, , , , 
2017/9/25, , 16, , , , 
2017/9/26, , 27, , , , 
2017/9/27, , 32, , , , 
2017/9/28, , 30, , , , 
2017/9/29, , 48, , , , 
2017/9/30, , 42, , , , 
2017/4/4, , 31, , , , 
2017/4/5, , 41, , , , 
2017/4/6, , 16, , , , 
2017/4/7, , 17, , , , 
2017/4/8, , 14, , , , 
2017/4/9, , 32, , , , 
2017/4/10, , 30, , , , 
